ray_id,parent_id,depth,surface,x0,y0,z0,x1,y1,z1,power,intensity
0,-1,0,Detector_direct,-0.34448,-0.80321,3.3199,-0.34448,-0.80321,2.6,29635.690698863713,84900000000.0
1,-1,0,Detector_direct,-0.34448,-0.8025433333333333,3.3199,-0.34448,-0.8025433333333333,2.6,39164.57289132637,84148677491.45538
2,-1,0,Detector_direct,-0.34390264973081036,-0.8028766666666667,3.3199,-0.34390264973081036,-0.8028766666666667,2.6,39164.57289132637,84148677491.45538
3,-1,0,Detector_direct,-0.34390264973081036,-0.8035433333333333,3.3199,-0.34390264973081036,-0.8035433333333333,2.6,39164.57289132637,84148677491.45538
4,-1,0,Detector_direct,-0.34448,-0.8038766666666667,3.3199,-0.34448,-0.8038766666666667,2.6,39164.57289132637,84148677491.45538
5,-1,0,Detector_direct,-0.34505735026918966,-0.8035433333333333,3.3199,-0.34505735026918966,-0.8035433333333333,2.6,39164.57289132637,84148677491.45538
6,-1,0,Detector_direct,-0.34505735026918966,-0.8028766666666667,3.3199,-0.34505735026918966,-0.8028766666666667,2.6,39164.57289132637,84148677491.45538
7,-1,0,Detector_direct,-0.34448,-0.8018766666666667,3.3199,-0.34448,-0.8018766666666667,2.6,38133.98650378699,81934368100.34387
8,-1,0,Detector_direct,-0.34381333333333336,-0.8020552994616207,3.3199,-0.34381333333333336,-0.8020552994616207,2.6,38133.98650378699,81934368100.34387
9,-1,0,Detector_direct,-0.34332529946162077,-0.8025433333333333,3.3199,-0.34332529946162077,-0.8025433333333333,2.6,38133.98650378699,81934368100.34387
10,-1,0,Detector_direct,-0.34314666666666666,-0.80321,3.3199,-0.34314666666666666,-0.80321,2.6,38133.98650378699,81934368100.34387
11,-1,0,Detector_direct,-0.34332529946162077,-0.8038766666666667,3.3199,-0.34332529946162077,-0.8038766666666667,2.6,38133.98650378699,81934368100.34387
12,-1,0,Detector_direct,-0.34381333333333336,-0.8043647005383793,3.3199,-0.34381333333333336,-0.8043647005383793,2.6,38133.98650378699,81934368100.34387
13,-1,0,Detector_direct,-0.34448,-0.8045433333333333,3.3199,-0.34448,-0.8045433333333333,2.6,38133.98650378699,81934368100.34387
14,-1,0,Detector_direct,-0.34514666666666666,-0.8043647005383793,3.3199,-0.34514666666666666,-0.8043647005383793,2.6,38133.98650378699,81934368100.34387
15,-1,0,Detector_direct,-0.34563470053837925,-0.8038766666666667,3.3199,-0.34563470053837925,-0.8038766666666667,2.6,38133.98650378699,81934368100.34387
16,-1,0,Detector_direct,-0.34581333333333336,-0.80321,3.3199,-0.34581333333333336,-0.80321,2.6,38133.98650378699,81934368100.34387
17,-1,0,Detector_direct,-0.34563470053837925,-0.8025433333333333,3.3199,-0.34563470053837925,-0.8025433333333333,2.6,38133.98650378699,81934368100.34387
18,-1,0,Detector_direct,-0.34514666666666666,-0.8020552994616207,3.3199,-0.34514666666666666,-0.8020552994616207,2.6,38133.98650378699,81934368100.34387
19,-1,0,Detector_direct,-0.34448,-0.80121,3.3199,-0.34448,-0.80121,2.6,36476.25402743928,78372577808.22537
20,-1,0,Detector_direct,-0.3437959597133487,-0.8013306147584282,3.3199,-0.3437959597133487,-0.8013306147584282,2.6,36476.25402743928,78372577808.22537
21,-1,0,Detector_direct,-0.34319442478062695,-0.8016779111137621,3.3199,-0.34319442478062695,-0.8016779111137621,2.6,36476.25402743928,78372577808.22537
22,-1,0,Detector_direct,-0.3427479491924311,-0.80221,3.3199,-0.3427479491924311,-0.80221,2.6,36476.25402743928,78372577808.22537
23,-1,0,Detector_direct,-0.3425103844939756,-0.8028627036446662,3.3199,-0.3425103844939756,-0.8028627036446662,2.6,36476.25402743928,78372577808.22537
24,-1,0,Detector_direct,-0.3425103844939756,-0.8035572963553338,3.3199,-0.3425103844939756,-0.8035572963553338,2.6,36476.25402743928,78372577808.22537
25,-1,0,Detector_direct,-0.3427479491924311,-0.80421,3.3199,-0.3427479491924311,-0.80421,2.6,36476.25402743928,78372577808.22537
26,-1,0,Detector_direct,-0.34319442478062695,-0.8047420888862379,3.3199,-0.34319442478062695,-0.8047420888862379,2.6,36476.25402743928,78372577808.22537
27,-1,0,Detector_direct,-0.3437959597133487,-0.8050893852415718,3.3199,-0.3437959597133487,-0.8050893852415718,2.6,36476.25402743928,78372577808.22537
28,-1,0,Detector_direct,-0.34448,-0.80521,3.3199,-0.34448,-0.80521,2.6,36476.25402743928,78372577808.22537
29,-1,0,Detector_direct,-0.3451640402866513,-0.8050893852415718,3.3199,-0.3451640402866513,-0.8050893852415718,2.6,36476.25402743928,78372577808.22537
30,-1,0,Detector_direct,-0.34576557521937307,-0.8047420888862379,3.3199,-0.34576557521937307,-0.8047420888862379,2.6,36476.25402743928,78372577808.22537
31,-1,0,Detector_direct,-0.3462120508075689,-0.80421,3.3199,-0.3462120508075689,-0.80421,2.6,36476.25402743928,78372577808.22537
32,-1,0,Detector_direct,-0.34644961550602443,-0.8035572963553338,3.3199,-0.34644961550602443,-0.8035572963553338,2.6,36476.25402743928,78372577808.22537
33,-1,0,Detector_direct,-0.34644961550602443,-0.8028627036446662,3.3199,-0.34644961550602443,-0.8028627036446662,2.6,36476.25402743928,78372577808.22537
34,-1,0,Detector_direct,-0.3462120508075689,-0.80221,3.3199,-0.3462120508075689,-0.80221,2.6,36476.25402743928,78372577808.22537
35,-1,0,Detector_direct,-0.34576557521937307,-0.8016779111137621,3.3199,-0.34576557521937307,-0.8016779111137621,2.6,36476.25402743928,78372577808.22537
36,-1,0,Detector_direct,-0.3451640402866514,-0.8013306147584282,3.3199,-0.3451640402866514,-0.8013306147584282,2.6,36476.25402743928,78372577808.22537
37,-1,0,Detector_direct,-0.34448,-0.8005433333333333,3.3199,-0.34448,-0.8005433333333333,2.6,34275.78924620156,73644677373.27158
38,-1,0,Detector_direct,-0.3437898158797266,-0.8006341977965624,3.3199,-0.3437898158797266,-0.8006341977965624,2.6,34275.78924620156,73644677373.27158
39,-1,0,Detector_direct,-0.34314666666666666,-0.8009005989232415,3.3199,-0.34314666666666666,-0.8009005989232415,2.6,34275.78924620156,73644677373.27158
40,-1,0,Detector_direct,-0.3425943819168359,-0.8013243819168359,3.3199,-0.3425943819168359,-0.8013243819168359,2.6,34275.78924620156,73644677373.27158
41,-1,0,Detector_direct,-0.34217059892324153,-0.8018766666666667,3.3199,-0.34217059892324153,-0.8018766666666667,2.6,34275.78924620156,73644677373.27158
42,-1,0,Detector_direct,-0.3419041977965625,-0.8025198158797265,3.3199,-0.3419041977965625,-0.8025198158797265,2.6,34275.78924620156,73644677373.27158
43,-1,0,Detector_direct,-0.34181333333333336,-0.80321,3.3199,-0.34181333333333336,-0.80321,2.6,34275.78924620156,73644677373.27158
44,-1,0,Detector_direct,-0.3419041977965625,-0.8039001841202734,3.3199,-0.3419041977965625,-0.8039001841202734,2.6,34275.78924620156,73644677373.27158
