1.1.1	(-0.7433885841, 1.0166561509, -3.1008810889)	(-0.7435971479, 1.0173317995, -3.1003693011)	(-0.7429214993, 1.0175403634, -3.1008810889)	(-0.7427129354, 1.0168647147, -3.1013928766)
1.1.2	(-0.7421947547, 1.0177423818, -3.1002727699)	(-0.741569642, 1.0180728879, -3.1007840036)	(-0.7412391358, 1.0174477752, -3.1012952374)	(-0.7418642485, 1.017117269, -3.1007840036)
1.1.3	(-0.741402162, 1.0166977127, -3.101076609)	(-0.74069871, 1.0167695142, -3.1015885309)	(-0.7406269085, 1.0160660623, -3.1021004528)	(-0.7413303604, 1.0159942607, -3.1015885309)
1.1.4	(-0.7430691526, 1.0165145811, -3.1002638105)	(-0.7423651771, 1.0164481107, -3.1007754019)	(-0.7424316476, 1.0157441352, -3.1012869933)	(-0.743135623, 1.0158106056, -3.1007754019)
1.1.5	(-0.7436046461, 1.015232129, -3.1003773468)	(-0.742928259, 1.015025973, -3.1008870268)	(-0.743134415, 1.0143495859, -3.1013967068)	(-0.7438108021, 1.0145557419, -3.1008870268)
1.1.6	(-0.7445425001, 1.0158266254, -3.1005022671)	(-0.7439935527, 1.0153809165, -3.1010076722)	(-0.7444392617, 1.0148319691, -3.1015130774)	(-0.744988209, 1.0152776781, -3.1010076722)
1.1.7	(-0.744957123, 1.0168074636, -3.1004603136)	(-0.7443335562, 1.0164740502, -3.100967642)	(-0.7446669696, 1.0158504834, -3.1014749704)	(-0.7452905364, 1.0161838968, -3.100967642)

1.2.1	(-0.7448569873, 1.0280703765, -2.7707874333)	(-0.74433976, 1.027588219, -2.7712870967)	(-0.7448219174, 1.0270709917, -2.7717867601)	(-0.7453391448, 1.0275531492, -2.7712870967)
1.2.2	(-0.7435192577, 1.0276279304, -2.7714381819)	(-0.7428237972, 1.0275001223, -2.7719256408)	(-0.7429516053, 1.0268046618, -2.7724130996)	(-0.7436470658, 1.0269324699, -2.7719256408)
1.2.3	(-0.7442014013, 1.0269473805, -2.7714322887)	(-0.7435398184, 1.0266977641, -2.7719230274)	(-0.7437894348, 1.0260361811, -2.7724137662)	(-0.7444510178, 1.0262857976, -2.7719230274)
1.2.4	(-0.742589986, 1.0267910651, -2.7718847627)	(-0.7418941302, 1.0269167032, -2.7723670053)	(-0.7417684921, 1.0262208474, -2.7728492478)	(-0.7424643479, 1.0260952093, -2.7723670053)
1.2.5	(-0.7433475732, 1.02619709, -2.7722068771)	(-0.7426404666, 1.0261972024, -2.7726914296)	(-0.7426403542, 1.0254900958, -2.773175982)	(-0.7433474608, 1.0254899834, -2.7726914296)
1.2.6	(-0.7449241173, 1.0263083509, -2.7714285416)	(-0.7443191919, 1.0259422015, -2.7719229564)	(-0.7446853412, 1.0253372762, -2.7724173712)	(-0.7452902666, 1.0257034255, -2.7719229564)
1.2.7	(-0.7457696107, 1.0273228276, -2.7706500348)	(-0.7453514219, 1.0267526363, -2.7711528043)	(-0.7459216132, 1.0263344475, -2.7716555739)	(-0.7463398019, 1.0269046388, -2.7711528043)

1.3.1	(-0.7520723452, 1.0208207025, -2.440798818)	(-0.7514633171, 1.0211799862, -2.4412996864)	(-0.7511040334, 1.0205709582, -2.4418005548)	(-0.7517130615, 1.0202116745, -2.4412996864)
1.3.2	(-0.7506454979, 1.0199643869, -2.4410973818)	(-0.7499813263, 1.0202070312, -2.44159587)	(-0.749738682, 1.0195428595, -2.4420943583)	(-0.7504028536, 1.0193002152, -2.44159587)
1.3.3	(-0.7521303054, 1.0188791957, -2.4412006989)	(-0.7514236524, 1.0188538608, -2.4416944516)	(-0.7514489872, 1.0181472078, -2.4421882042)	(-0.7521556403, 1.0181725426, -2.4416944516)
1.3.4	(-0.7504804895, 1.0190042866, -2.4419387947)	(-0.7497819903, 1.0191142794, -2.4424348231)	(-0.7496719975, 1.0184157803, -2.4429308514)	(-0.7503704967, 1.0183057875, -2.4424348231)
1.3.5	(-0.7521043779, 1.0178178223, -2.4414223133)	(-0.7514168451, 1.0176525984, -2.4419116886)	(-0.7515820689, 1.0169650656, -2.4424010638)	(-0.7522696018, 1.0171302895, -2.4419116886)
1.3.6	(-0.7535763361, 1.0180450375, -2.4414963802)	(-0.7529300838, 1.0177580566, -2.4419834115)	(-0.7532170648, 1.0171118043, -2.4424704428)	(-0.7538633171, 1.0173987853, -2.4419834115)
1.3.7	(-0.7536145784, 1.0192131951, -2.4415371566)	(-0.7530357358, 1.0188070657, -2.4420251909)	(-0.7534418652, 1.0182282231, -2.4425132252)	(-0.7540207078, 1.0186343525, -2.4420251909)

1.4.1	(-0.7494488642, 1.0284365076, -2.1072998361)	(-0.7487918344, 1.0286978729, -2.1078270055)	(-0.7485304691, 1.0280408431, -2.1083541749)	(-0.7491874989, 1.0277794778, -2.1078270055)
1.4.2	(-0.7491445171, 1.0275475067, -2.1080486324)	(-0.7484374864, 1.027537152, -2.1085915876)	(-0.7484478411, 1.0268301213, -2.1091345429)	(-0.7491548718, 1.026840476, -2.1085915876)
1.4.3	(-0.7499698898, 1.0270767009, -2.1077460899)	(-0.7492793138, 1.0269246993, -2.1082947593)	(-0.7494313155, 1.0262341232, -2.1088434287)	(-0.7501218915, 1.0263861249, -2.1082947593)
1.4.4	(-0.7481877236, 1.0269242818, -2.1087836053)	(-0.747493127, 1.0270567044, -2.1093190645)	(-0.7473607044, 1.0263621078, -2.1098545237)	(-0.748055301, 1.0262296852, -2.1093190645)
1.4.5	(-0.7502228008, 1.0258168083, -2.1077049945)	(-0.7495776938, 1.0255272614, -2.1082549573)	(-0.7498672408, 1.0248821544, -2.10880492)	(-0.7505123477, 1.0251717013, -2.1082549573)
1.4.6	(-0.7512129614, 1.0265071596, -2.1077453491)	(-0.7507335241, 1.0259874098, -2.1082930808)	(-0.7512532739, 1.0255079724, -2.1088408125)	(-0.7517327113, 1.0260277223, -2.1082930808)
1.4.7	(-0.7511617706, 1.0275400909, -2.1072758589)	(-0.7505880246, 1.0271267926, -2.107827398)	(-0.7510013229, 1.0265530465, -2.1083789371)	(-0.7515750689, 1.0269663449, -2.107827398)

2.1.1	(-1.0214267782, -0.7478315594, -3.0987653032)	(-1.0216237735, -0.7471524476, -3.0993017493)	(-1.0209446617, -0.7469554523, -3.0998381953)	(-1.0207476664, -0.7476345641, -3.0993017493)
2.1.2	(-1.0216123644, -0.7457863278, -3.0994375819)	(-1.0215391225, -0.7450830242, -3.0999694617)	(-1.0208358189, -0.7451562661, -3.1005013415)	(-1.0209090608, -0.7458595697, -3.0999694617)
2.1.3	(-1.0211076856, -0.7465979699, -3.0995376747)	(-1.02090371, -0.7459209221, -3.1000653609)	(-1.0202266622, -0.7461248977, -3.1005930472)	(-1.0204306378, -0.7468019455, -3.1000653609)
2.1.4	(-1.0210030293, -0.7448791671, -3.1004028129)	(-1.0210648473, -0.7441747676, -3.1009377735)	(-1.0203604478, -0.7441129496, -3.101472734)	(-1.0202986298, -0.7448173491, -3.1009377735)
2.1.5	(-1.0198781997, -0.7468947255, -3.0998965306)	(-1.0195433706, -0.7462719179, -3.1004188131)	(-1.018920563, -0.7466067471, -3.1009410955)	(-1.0192553922, -0.7472295546, -3.1004188131)
2.1.6	(-1.0206359146, -0.7475448479, -3.099852081)	(-1.0201862814, -0.7469991102, -3.100371365)	(-1.0196405437, -0.7474487434, -3.100890649)	(-1.0200901769, -0.7479944811, -3.100371365)
2.1.7	(-1.0222170185, -0.7463596499, -3.098793838)	(-1.0216668708, -0.7459154231, -3.0993092593)	(-1.021222644, -0.7464655708, -3.0998246806)	(-1.0217727917, -0.7469097976, -3.0993092593)

