1.1.1	(-0.7632589117795, 1.0139756257138, -3.1008810889)	(-0.7634674755795, 1.0146512743137999, -3.1003693011)	(-0.7627918269795, 1.0148598382137999, -3.1008810889)	(-0.7625832630795001, 1.0141841895138, -3.1013928766)
1.1.2	(-0.7620650823795, 1.0150618566137999, -3.1002727699)	(-0.7614399696795, 1.0153923627138, -3.1007840036)	(-0.7611094634795, 1.0147672500137999, -3.1012952374)	(-0.7617345761795, 1.0144367438138, -3.1007840036)
1.1.3	(-0.7612724896795, 1.0140171875138, -3.101076609)	(-0.7605690376795, 1.0140889890137998, -3.1015885309)	(-0.7604972361795, 1.0133855371137999, -3.1021004528)	(-0.7612006880795, 1.0133137355138, -3.1015885309)
1.1.4	(-0.7629394802795, 1.0138340559138, -3.1002638105)	(-0.7622355047795001, 1.0137675855138, -3.1007754019)	(-0.7623019752795, 1.0130636100138, -3.1012869933)	(-0.7630059506795001, 1.0131300804138, -3.1007754019)
1.1.5	(-0.7634749737795, 1.0125516038137998, -3.1003773468)	(-0.7627985866795001, 1.0123454478137999, -3.1008870268)	(-0.7630047426795, 1.0116690607138, -3.1013967068)	(-0.7636811297795, 1.0118752167137999, -3.1008870268)
1.1.6	(-0.7644128277795, 1.0131461002137998, -3.1005022671)	(-0.7638638803795, 1.0127003913138, -3.1010076722)	(-0.7643095893795, 1.0121514439138, -3.1015130774)	(-0.7648585366795, 1.0125971529137998, -3.1010076722)
1.1.7	(-0.7648274506795001, 1.0141269384137999, -3.1004603136)	(-0.7642038838795, 1.0137935250138, -3.100967642)	(-0.7645372972795, 1.0131699582137998, -3.1014749704)	(-0.7651608640795, 1.0135033716138, -3.100967642)

1.2.1	(-0.7647273149795001, 1.0253898513138, -2.7707874333)	(-0.7642100876795, 1.0249076938138, -2.7712870967)	(-0.7646922450795001, 1.0243904665138, -2.7717867601)	(-0.7652094724795, 1.0248726240138, -2.7712870967)
1.2.2	(-0.7633895853795001, 1.0249474052138, -2.7714381819)	(-0.7626941248795001, 1.0248195971137999, -2.7719256408)	(-0.7628219329795001, 1.0241241366137999, -2.7724130996)	(-0.7635173934795, 1.0242519447137999, -2.7719256408)
1.2.3	(-0.7640717289795, 1.0242668553138, -2.7714322887)	(-0.7634101460795001, 1.0240172389137998, -2.7719230274)	(-0.7636597624795001, 1.0233556559138, -2.7724137662)	(-0.7643213454795, 1.0236052724137998, -2.7719230274)
1.2.4	(-0.7624603136795001, 1.0241105399138, -2.7718847627)	(-0.7617644578795, 1.0242361780137998, -2.7723670053)	(-0.7616388197795, 1.0235403222138, -2.7728492478)	(-0.7623346755795001, 1.0234146841137999, -2.7723670053)
1.2.5	(-0.7632179008795, 1.0235165648137998, -2.7722068771)	(-0.7625107942795001, 1.0235166772137998, -2.7726914296)	(-0.7625106818795, 1.0228095706137998, -2.773175982)	(-0.7632177884795001, 1.0228094582137999, -2.7726914296)
1.2.6	(-0.7647944449795, 1.0236278257137998, -2.7714285416)	(-0.7641895195795, 1.0232616763137998, -2.7719229564)	(-0.7645556688795, 1.0226567510137998, -2.7724173712)	(-0.7651605942795, 1.0230229003137998, -2.7719229564)
1.2.7	(-0.7656399383795001, 1.0246423024137998, -2.7706500348)	(-0.7652217495795001, 1.0240721111137998, -2.7711528043)	(-0.7657919408795001, 1.0236539223138, -2.7716555739)	(-0.7662101295795001, 1.0242241136138, -2.7711528043)

1.3.1	(-0.7719426728795, 1.0181401773138, -2.440798818)	(-0.7713336447795001, 1.0184994610137998, -2.4412996864)	(-0.7709743610795, 1.0178904330138, -2.4418005548)	(-0.7715833891795, 1.0175311493138, -2.4412996864)
1.3.2	(-0.7705158255795, 1.0172838617137998, -2.4410973818)	(-0.7698516539795001, 1.0175265060138, -2.44159587)	(-0.7696090096795001, 1.0168623343138, -2.4420943583)	(-0.7702731812795001, 1.0166196900137998, -2.44159587)
1.3.3	(-0.7720006330795001, 1.0161986705138, -2.4412006989)	(-0.7712939800795, 1.0161733356137999, -2.4416944516)	(-0.7713193148795, 1.0154666826138, -2.4421882042)	(-0.7720259679795001, 1.0154920174137998, -2.4416944516)
1.3.4	(-0.7703508171795, 1.0163237614137999, -2.4419387947)	(-0.7696523179795001, 1.0164337542138, -2.4424348231)	(-0.7695423251795, 1.0157352551138, -2.4429308514)	(-0.7702408243795, 1.0156252623137998, -2.4424348231)
1.3.5	(-0.7719747055795, 1.0151372971138, -2.4414223133)	(-0.7712871727795, 1.0149720732138, -2.4419116886)	(-0.7714523965795, 1.0142845404138, -2.4424010638)	(-0.7721399294795, 1.0144497643138, -2.4419116886)
1.3.6	(-0.7734466637795, 1.0153645123138, -2.4414963802)	(-0.7728004114795001, 1.0150775314137999, -2.4419834115)	(-0.7730873924795, 1.0144312791138, -2.4424704428)	(-0.7737336447795, 1.0147182601137998, -2.4419834115)
1.3.7	(-0.7734849060795, 1.0165326699138, -2.4415371566)	(-0.7729060634795001, 1.0161265405137998, -2.4420251909)	(-0.7733121928795, 1.0155476979137998, -2.4425132252)	(-0.7738910354795, 1.0159538273137998, -2.4420251909)

1.4.1	(-0.7693191918795, 1.0257559824137998, -2.1072998361)	(-0.7686621620795, 1.0260173477138, -2.1078270055)	(-0.7684007967795, 1.0253603179138, -2.1083541749)	(-0.7690578265795001, 1.0250989526138, -2.1078270055)
1.4.2	(-0.7690148447795, 1.0248669815137998, -2.1080486324)	(-0.7683078140795, 1.0248566268138, -2.1085915876)	(-0.7683181687795, 1.0241495961137999, -2.1091345429)	(-0.7690251994795, 1.0241599508138, -2.1085915876)
1.4.3	(-0.7698402174795, 1.0243961757137998, -2.1077460899)	(-0.7691496414795, 1.0242441741138, -2.1082947593)	(-0.7693016431795, 1.0235535980138, -2.1088434287)	(-0.7699922191795, 1.0237055997137998, -2.1082947593)
