control,axis,screen,delta_deg,baseline_x_m,baseline_y_m,dx_mm_per_deg,dy_mm_per_deg,magnitude_mm_per_deg,magnitude_m_per_rad,baseline_hits,minus_hits,plus_hits,minus_to_baseline_intensity_ratio,plus_to_baseline_intensity_ratio
MP1,x,Screen 1,0.001000000,-0.765023336941,1.01811249271,-164.740755,121.731387,204.836635,11.7362747,9117,9122,9112,1.00177092,0.998057904
MP1,x,Screen 2,0.001000000,-1.016786509,-0.764440375227,-124.777376,-156.962515,200.515896,11.4887146,9066,9059,9073,1.00130569,0.999101055
MP1,x,Screen 3,0.001000000,0.766164545253,-1.01998841329,-20.1445017,212.602454,213.554687,12.2357823,9061,9061,9059,1.0021786,0.997677987
MP1,x,Screen 4,0.001000000,1.02006903743,0.766183795997,-223.820808,-16.392629,224.420303,12.8583362,9021,9019,9032,1.00116419,1.00081838
MP1,z,Screen 1,0.001000000,-0.765023336941,1.01811249271,97.849612,72.9560137,122.053785,6.99316677,9117,9113,9114,0.998668247,1.00024708
MP1,z,Screen 2,0.001000000,-1.016786509,-0.764440375227,-58.7896261,87.3534365,105.294079,6.03290632,9066,9086,9080,1.00331603,1.00266055
MP1,z,Screen 3,0.001000000,0.766164545253,-1.01998841329,-111.796826,-36.5144463,117.608822,6.73848914,9061,9059,9070,0.999960507,1.00209593
MP1,z,Screen 4,0.001000000,1.02006903743,0.766183795997,49.8811546,-114.949495,125.30569,7.17948717,9021,9027,9024,1.00086794,0.999975831
MP2,x,Screen 1,0.001000000,-0.765023336941,1.01811249271,149.478551,-108.689762,184.816941,10.5892307,9117,9115,9114,0.999115914,1.00053654
MP2,x,Screen 2,0.001000000,-1.016786509,-0.764440375227,112.549026,141.132709,180.515165,10.3427571,9066,9067,9055,0.998238318,1.00058745
MP2,x,Screen 3,0.001000000,0.766164545253,-1.01998841329,19.193896,-193.508567,194.458148,11.1416312,9061,9058,9058,0.997817332,1.00156784
MP2,x,Screen 4,0.001000000,1.02006903743,0.766183795997,206.276786,13.6654821,206.728948,11.8446962,9021,9039,9027,1.00189378,1.00204056
MP2,z,Screen 1,0.001000000,-0.765023336941,1.01811249271,-90.8164571,-67.8818745,113.38244,6.4963353,9117,9113,9117,0.999945118,0.999523621
MP2,z,Screen 2,0.001000000,-1.016786509,-0.764440375227,53.2264817,-79.4423285,95.6250067,5.4789093,9066,9078,9082,1.00210672,1.00274843
MP2,z,Screen 3,0.001000000,0.766164545253,-1.01998841329,99.4422355,30.4907504,104.01175,5.95943428,9061,9067,9061,1.00140737,1.00021984
MP2,z,Screen 4,0.001000000,1.02006903743,0.766183795997,-46.4443529,104.552059,114.403719,6.55485026,9021,9026,9021,0.999735501,0.999629854
MS1,x,Screen 1,0.001000000,-0.765023336941,1.01811249271,14.232279,5.16132951,15.1392565,0.867415503,9117,9120,9118,1.00017175,1.00036679
MS1,x,Screen 2,0.001000000,-1.016786509,-0.764440375227,0,0,0,0,9066,9066,9066,1,1
MS1,x,Screen 3,0.001000000,0.766164545253,-1.01998841329,0,0,0,0,9061,9061,9061,1,1
MS1,x,Screen 4,0.001000000,1.02006903743,0.766183795997,0,0,0,0,9021,9021,9021,1,1
MS1,z,Screen 1,0.001000000,-0.765023336941,1.01811249271,-63.6426158,116.798171,133.012012,7.62102691,9117,9108,9108,0.998696225,0.997894389
MS1,z,Screen 2,0.001000000,-1.016786509,-0.764440375227,0,0,0,0,9066,9066,9066,1,1
MS1,z,Screen 3,0.001000000,0.766164545253,-1.01998841329,0,0,0,0,9061,9061,9061,1,1
MS1,z,Screen 4,0.001000000,1.02006903743,0.766183795997,0,0,0,0,9021,9021,9021,1,1
MS2,x,Screen 1,0.001000000,-0.765023336941,1.01811249271,0,0,0,0,9117,9117,9117,1,1
MS2,x,Screen 2,0.001000000,-1.016786509,-0.764440375227,47.0766038,-93.3118427,104.514624,5.98824685,9066,9078,9081,1.0024481,1.00260483
MS2,x,Screen 3,0.001000000,0.766164545253,-1.01998841329,0,0,0,0,9061,9061,9061,1,1
MS2,x,Screen 4,0.001000000,1.02006903743,0.766183795997,0,0,0,0,9021,9021,9021,1,1
MS2,z,Screen 1,0.001000000,-0.765023336941,1.01811249271,0,0,0,0,9117,9117,9117,1,1
MS2,z,Screen 2,0.001000000,-1.016786509,-0.764440375227,-119.251822,-66.9658144,136.76775,7.83621483,9066,9062,9077,1.00118086,1.00132809
MS2,z,Screen 3,0.001000000,0.766164545253,-1.01998841329,0,0,0,0,9061,9061,9061,1,1
MS2,z,Screen 4,0.001000000,1.02006903743,0.766183795997,0,0,0,0,9021,9021,9021,1,1
MS3,x,Screen 1,0.001000000,-0.765023336941,1.01811249271,0,0,0,0,9117,9117,9117,1,1
MS3,x,Screen 2,0.001000000,-1.016786509,-0.764440375227,0,0,0,0,9066,9066,9066,1,1
MS3,x,Screen 3,0.001000000,0.766164545253,-1.01998841329,12.4325656,5.74767984,13.6968796,0.784773393,9061,9059,9061,0.999742216,1.00005127
MS3,x,Screen 4,0.001000000,1.02006903743,0.766183795997,0,0,0,0,9021,9021,9021,1,1
MS3,z,Screen 1,0.001000000,-0.765023336941,1.01811249271,0,0,0,0,9117,9117,9117,1,1
MS3,z,Screen 2,0.001000000,-1.016786509,-0.764440375227,0,0,0,0,9066,9066,9066,1,1
MS3,z,Screen 3,0.001000000,0.766164545253,-1.01998841329,68.1717241,-122.720233,140.383901,8.04340503,9061,9069,9057,1.00042632,1.0010664
MS3,z,Screen 4,0.001000000,1.02006903743,0.766183795997,0,0,0,0,9021,9021,9021,1,1
MS4,x,Screen 1,0.001000000,-0.765023336941,1.01811249271,0,0,0,0,9117,9117,9117,1,1
MS4,x,Screen 2,0.001000000,-1.016786509,-0.764440375227,0,0,0,0,9066,9066,9066,1,1
MS4,x,Screen 3,0.001000000,0.766164545253,-1.01998841329,0,0,0,0,9061,9061,9061,1,1
MS4,x,Screen 4,0.001000000,1.02006903743,0.766183795997,56.2637119,-93.1396624,108.81453,6.23461333,9021,9034,9032,1.00202341,1.00116453
MS4,z,Screen 1,0.001000000,-0.765023336941,1.01811249271,0,0,0,0,9117,9117,9117,1,1
MS4,z,Screen 2,0.001000000,-1.016786509,-0.764440375227,0,0,0,0,9066,9066,9066,1,1
MS4,z,Screen 3,0.001000000,0.766164545253,-1.01998841329,0,0,0,0,9061,9061,9061,1,1
MS4,z,Screen 4,0.001000000,1.02006903743,0.766183795997,119.151157,61.8922388,134.267075,7.69293675,9021,9031,9040,1.00043913,1.00341762
MS1-MS4,x,Screen 1,0.001000000,-0.765023336941,1.01811249271,14.232279,5.16132951,15.1392565,0.867415503,9117,9120,9118,1.00017175,1.00036679
MS1-MS4,x,Screen 2,0.001000000,-1.016786509,-0.764440375227,47.0766038,-93.3118427,104.514624,5.98824685,9066,9078,9081,1.0024481,1.00260483
MS1-MS4,x,Screen 3,0.001000000,0.766164545253,-1.01998841329,12.4325656,5.74767984,13.6968796,0.784773393,9061,9059,9061,0.999742216,1.00005127
MS1-MS4,x,Screen 4,0.001000000,1.02006903743,0.766183795997,56.2637119,-93.1396624,108.81453,6.23461333,9021,9034,9032,1.00202341,1.00116453
MS1-MS4,z,Screen 1,0.001000000,-0.765023336941,1.01811249271,-63.6426158,116.798171,133.012012,7.62102691,9117,9108,9108,0.998696225,0.997894389
MS1-MS4,z,Screen 2,0.001000000,-1.016786509,-0.764440375227,-119.251822,-66.9658144,136.76775,7.83621483,9066,9062,9077,1.00118086,1.00132809
MS1-MS4,z,Screen 3,0.001000000,0.766164545253,-1.01998841329,68.1717241,-122.720233,140.383901,8.04340503,9061,9069,9057,1.00042632,1.0010664
MS1-MS4,z,Screen 4,0.001000000,1.02006903743,0.766183795997,119.151157,61.8922388,134.267075,7.69293675,9021,9031,9040,1.00043913,1.00341762
