Стержень	Зеркало	x₀	y₀	z₀	aₓ	aᵧ	a_z
1	1_1	433,70	-473,87	-365,07	17,52	-491,44	15,31
	1_2	306,77	-525,45	-366,66	106,32	-455,30	15,74
	1_3	186,84	-572,99	-370,20	189,12	-422,43	16,90
	1_4	72,86	-615,99	-368,05	268,72	-392,87	16,15
	1_5	-	-	-	-	-	-
	1_6	-216,52	-728,49	-377,80	470,49	-314,32	24,51
	1_7	-421,59	-807,92	-370,09	616,03	-259,77	18,99
	2_1	409,57	-489,93	-654,99	39,35	-479,33	-13,85
	2_2	281,01	-537,47	-656,50	129,07	-446,64	-14,02
	2_3	162,06	-584,45	-660,67	211,41	-414,05	-11,84
	2_4	37,94	-633,31	-661,10	-	-	-
	2_5	-104,55	-688,96	-663,58	-	-	-
	2_6	-278,06	-755,85	-662,01	516,49	-295,12	-10,28
	2_7	-525,18	-851,08	-660,94	688,38	-229,13	-9,37
	3_1	438,96	-471,85	-983,25	14,25	-493,08	-14,14
	3_2	305,95	-522,37	-982,75	106,79	-458,27	-15,81
	3_3	181,59	-571,40	-983,01	191,68	-424,00	-16,00
	3_4	55,31	-619,82	-978,06	-	-	-
	3_5	-	-	-	-	-	-
	3_6	-252,43	-741,42	-974,78	490,60	-306,48	-21,71
	3_7	-483,95	-831,63	-968,23	650,20	-245,00	-24,50
	4_1	521,57	-441,32	-1330,69	-38,45	-516,74	-2,30
	4_2	378,58	-497,90	-1327,91	60,69	-477,38	-4,81
	4_3	259,85	-544,58	-1329,67	142,42	-445,35	-5,08
	4_4	138,03	-592,00	-1325,36	226,61	-412,31	-6,43
	4_5	-	-	-	-	-	-
	4_6	-143,00	-701,98	-1320,53	-	-	-
	4_7	-324,92	-772,97	-1314,54	547,86	-286,72	-12,78
2	1_1	-360,83	-723,95	-351,65	-	-	-
	1_2	-426,43	-552,74	-349,02	-507,14	14,31	3,32
	1_3	-480,58	-414,11	-347,39	-472,59	-73,49	1,48
	1_4	-528,69	-288,95	-347,89	-441,18	-157,24	1,52
	1_5	-575,95	-167,72	-347,21	-408,31	-240,46	1,64
	1_6	-623,06	-47,96	-346,29	-375,12	-323,58	-0,10
	1_7	-676,26	90,06	-342,99	-	-	-
	2_1	-357,76	-731,75	-652,25	-	-	-
	2_2	-425,21	-553,75	-654,78	-501,16	6,73	-14,18
	2_3	-481,24	-408,17	-658,30	-466,87	-83,93	-12,57
	2_4	-530,53	-282,47	-656,60	-435,52	-164,58	-16,19
	2_5	-578,30	-159,25	-663,68	-402,74	-248,57	-7,39
	2_6	-627,02	-31,71	-661,80	-369,07	-338,19	-12,50
	2_7	-683,25	113,33	-659,31	-	-	-
	3_1	-285,21	-927,03	-1005,18	-624,81	328,61	-0,90
	3_2	-374,27	-697,60	-1005,64	-562,42	168,43	-1,43
	3_3	-438,09	-535,44	-1007,57	-518,69	56,27	-1,05
	3_4	-492,67	-390,60	-1008,86	-481,73	-44,47	1,38
