Стержень	Бандл	x₀	y₀	z₀	aₓ	aᵧ	a_z
1	1_1	543,969	-335,409	9721,890	145,222	-469,820	15,310
	1_2	434,909	-418,340	9720,300	221,506	-411,749	15,740
	1_3	331,551	-495,544	9716,760	292,852	-358,401	16,900
	1_4	232,751	-566,811	9718,910	361,973	-309,083	16,150
	1_5	-	-	-	-	-	-
	1_6	-17,219	-750,963	9709,160	536,236	-180,578	24,510
	1_7	-194,438	-881,180	9716,870	662,486	-89,921	18,990
	2_1	524,869	-357,212	9431,970	163,133	-452,430	-13,850
	2_2	413,181	-436,669	9430,460	241,206	-397,449	-14,020
	2_3	310,622	-513,076	9426,290	312,181	-344,492	-11,840
	2_4	203,564	-592,648	9425,860	-	-	-
	2_5	80,546	-683,570	9423,380	-	-	-
	2_6	-69,481	-793,442	9424,950	575,628	-150,034	-10,280
	2_7	-283,166	-949,889	9426,020	724,327	-41,454	-9,370
	3_1	548,519	-332,086	9103,710	142,494	-472,257	-14,140
	3_2	433,313	-415,581	9104,210	222,735	-414,493	-15,810
	3_3	326,068	-495,380	9103,950	295,733	-359,248	-16,000
	3_4	216,810	-575,091	9108,900	-	-	-
	3_5	-	-	-	-	-	-
	3_6	-48,508	-772,820	9112,180	553,602	-167,759	-21,710
	3_7	-248,444	-920,349	9118,730	691,614	-66,742	-24,500
	4_1	620,293	-281,046	8756,270	97,799	-508,856	-2,300
	4_2	497,035	-372,997	8759,050	183,224	-444,976	-4,810
	4_3	394,611	-449,057	8757,290	253,756	-392,719	-5,080
	4_4	289,397	-526,638	8761,600	326,400	-338,843	-6,430
	4_5	-	-	-	-	-	-
	4_6	46,829	-706,177	8766,430	-	-	-
	4_7	-110,246	-822,202	8772,420	603,717	-133,735	-12,780
2	1_1	-157,709	-784,258	9735,310	-	-	-
	1_2	-265,735	-636,114	9737,940	-493,286	-118,595	3,320
	1_3	-354,201	-516,431	9739,570	-437,011	-194,329	1,480
	1_4	-433,321	-408,173	9739,070	-384,824	-266,973	1,520
	1_5	-510,593	-303,487	9739,750	-331,366	-338,725	1,640
	1_6	-587,337	-200,181	9740,670	-277,626	-410,296	-0,100
	1_7	-674,727	-80,838	9743,970	-	-	-
	2_1	-152,709	-790,986	9434,710	-	-	-
	2_2	-264,293	-636,771	9432,180	-485,534	-124,351	-14,180
	2_3	-356,389	-510,869	9428,660	-428,763	-202,914	-12,570
	2_4	-436,789	-402,398	9430,360	-377,444	-272,581	-16,190
	2_5	-515,073	-295,924	9423,280	-323,872	-345,099	-7,390
	2_6	-595,402	-185,528	9425,160	-267,971	-422,820	-12,500
	2_7	-687,550	-60,200	9427,650	-	-	-
	3_1	-31,690	-960,551	9081,780	-688,935	154,081	-0,900
	3_2	-177,563	-762,331	9081,320	-586,888	15,746	-1,430
	3_3	-281,507	-622,459	9079,390	-515,391	-81,106	-1,050
	3_4	-372,010	-496,893	9078,100	-453,410	-168,702	1,380
	3_5	-451,550	-388,687	9078,100	-397,810	-244,049	0,130
	3_6	-528,730	-284,804	9077,190	-343,699	-315,841	1,380
	3_7	-606,322	-179,511	9078,060	-	-	-
	4_1	-	-	-	-	-	-
	4_2	-86,670	-887,191	8779,320	-646,066	97,387	-18,560
	4_3	-216,237	-711,454	8772,550	-556,924	-24,258	-15,080
	4_4	-317,011	-572,848	8770,800	-488,004	-119,125	-15,630
	4_5	-405,117	-452,890	8771,230	-427,027	-202,133	-13,460
	4_6	-480,847	-349,963	8767,570	-374,968	-272,657	-12,370
	4_7	-562,518	-239,815	8761,970	-319,141	-348,305	-7,980
3	1_1	-772,509	764,006	9743,920	-	-	-
	1_2	-668,087	267,933	9748,400	-57,808	529,793	-6,460
	1_3	-545,923	356,842	9749,400	-142,443	469,619	-7,950
	1_4	-435,413	439,658	9750,220	-219,016	410,164	-7,850
	1_5	-333,935	514,084	9748,280	-290,222	359,019	-7,570
	1_6	-224,457	594,362	9750,480	-	-	-
	1_7	-	-	-	-	-	-
	2_1	-556,466	341,891	9428,380	-137,241	476,889	-14,100
	2_2	-442,362	425,710	9426,350	-217,008	418,559	-13,280
	2_3	-337,938	502,497	9426,360	-289,562	365,081	-14,070
	2_4	-227,262	583,286	9428,510	-366,286	309,170	-13,900
	2_5	29,486	774,741	9431,070	-543,879	175,859	-15,990
	2_6	219,646	916,745	9433,290	-676,430	77,665	-16,750
	2_7	-	-	-	-	-	-
	3_1	-881,009	103,954	9088,280	93,548	645,898	-5,520
	3_2	-701,576	235,940	9095,270	-31,830	554,430	-11,280
	3_3	-571,886	332,147	9099,040	-121,742	487,265	-14,550
	3_4	-452,919	419,395	9105,890	-204,707	427,429	-18,280
	3_5	-347,156	496,668	9108,440	-277,978	373,881	-21,670
	3_6	-240,020	577,484	9112,170	-351,558	317,111	-23,560
	3_7	-	-	-	-	-	-
	4_1	-669,884	259,025	8664,080	-102,210	505,135	58,810
	4_2	-549,277	348,560	8677,600	-179,297	448,038	48,330
	4_3	-443,405	427,842	8690,320	-247,112	396,266	39,850
	4_4	-341,256	503,620	8700,390	-316,198	344,327	34,260
	4_5	-236,709	581,559	8714,490	-388,651	289,291	22,720
	4_6	-592,564	894,639	8741,550	-	-	-
	4_7	-	-	-	-	-	-
4	1_1	744,413	20,365	9726,960	192,799	518,129	10,570
	1_2	-	-	-	-	-	-
	1_3	565,880	263,235	9723,700	317,642	348,138	14,760
	1_4	487,843	369,942	9732,450	-	-	-
	1_5	417,599	463,539	9725,250	420,751	208,216	10,300
	1_6	334,647	577,887	9737,500	478,259	128,806	2,320
	1_7	235,904	712,547	9740,320	546,908	34,364	1,140
	2_1	755,102	3,366	9422,600	183,661	528,514	-6,880
	2_2	-	-	-	-	-	-
	2_3	568,610	256,816	9421,660	313,229	353,616	-8,010
